"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"351","40.60917603","0.00427552","0.02462498","0.0","4","93","false","186","3.25","4","0","0","0.68564146","false","0","186","10285480","0.25"
"353","46.04250936","0.0","0.02171906","0.0","3","94","false","187","3.0","2","0","0","0.64251977","false","1","187","0","0.0"
"355","42.19550562","0.01263189","0.02369921","0.33333333","3","89","false","188","3.33333333","3","0","0","0.67305154","false","0","188","5189804","0.42857143"
"356","42.66329588","0.00674689","0.02343935","0.33333333","3","89","false","189","3.0","3","0","0","0.66933892","false","0","189","3171266","0.44444444"
"358","37.05224719","0.00182782","0.02698892","0.0","3","82","false","190","3.66666667","3","0","0","0.71387105","false","0","190","3469812","0.38095238"
"359","36.97490637","0.0013532","0.02704537","0.33333333","3","81","false","191","3.33333333","3","0","0","0.71448487","false","0","191","3434842","0.42857143"
"361","43.1511236","5.0131E-4","0.02317437","0.33333333","4","100","false","192","3.5","4","0","0","0.66546727","false","0","192","1998110","0.40625"
"362","42.88127341","5.6417E-4","0.0233202","0.5","4","100","false","193","3.5","4","0","0","0.66760894","false","0","193","2621758","0.4375"
"364","32.52734082","0.11270973","0.03074337","0.0","4","76","false","194","3.75","4","0","0","0.74978301","false","0","194","65643128","0.30555556"
"365","33.4593633","0.00583856","0.029887","0.0","3","77","false","195","3.33333333","3","0","0","0.74238601","false","0","195","2089418","0.33333333"
"367","29.50749064","0.18699832","0.0338897","0.0","4","67","false","196","3.0","4","0","0","0.77375007","false","0","196","283525548","0.25"
"368","29.65337079","0.10509157","0.03372298","0.0","3","68","false","197","2.33333333","3","0","0","0.7725923","false","0","197","164607450","0.33333333"
"370","43.27097378","0.003606","0.02311018","0.0","4","98","false","198","3.25","4","0","0","0.66451608","false","0","198","3279072","0.32142857"
